CustAcct,CustomerName,ItemCode,ItemType,ItemDescription,ItemExtendedDescription,ItemCategory,CategoryDescription,ItemSubCat,SubCatDescription,SalesClass,CPTaxFlag,CPComFlag,PriceUnit,ListPrice,CurrentPrice,PriceOpt,PriceSource,CurPriceMargin,CurRebateFlag,CurRebateCost,LastPricePaid,LastPriceMargin,LastQtyOrdered,StockUnit,VMIParStock,FirstSaleDate,LastSaleDate,NextSaleDate,CPPrintOnOrderForm,CPPriceOptDesc,CPPriceCtrl,CPPriceOpt,CPPriceBrkt,CPPricePct,CPSpecialPrice,SpecialPriceChgFlag,SpecialPriceMargin,CPNotesDate,CPNotes1,CPNotes2,CPNotes3,CPNotesAddToOrder,MSDSReqdFlag,MSDSCode,MSDSDescription,MSDSDueFlag,MSDSSentFlag,MSDSSentDate,CorpMaxOrderQty,CorpCurrentBudgetQty,CorpLastBudgetQty,SalesmanName,SupplierAcct,SmanCode,SupplierName,CustomerPartNum,SupplierPartNum,JMCatItemFlag,PricingClassDesc,PricingClassCode,CustID,ItemID,ItemSubCatID,SmanID,VendorID,,
100001,UNLIMITED FLORIDA SALES,ID-9PWCR-CS,I,"9"" FOAM PLATE DART 500/CS",,0,,230-B,PLATES FOAM,,N,Y,CS,49.89,22.45,p0,p0   Cust,0,N,0,0,0,1,CS,0,5/4/2016,5/4/2016,,Y,(Use Cust Default),,,,,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,287514,Y,(UnAssigned),,10002,107633,648,11,10306,,
100001,UNLIMITED FLORIDA SALES,GPT221060-CS,I,8-1/2 x 11 COPY PAPER #20,92 bright,0,,200-L,PRINTER PAPER,,N,Y,CS,0,51.95,P0,P0   CProd,0,N,0,0,0,1,CS,0,5/31/2024,5/31/2024,,Y,0% Profit Margin,P0,P,,0,0,+,0,4/23/2024,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,AMSAN100,10,THE HOME DEPOT PRO INSTITUTIONAL,,GPT221060,Y,(UnAssigned),,10002,109422,672,11,10432,,
100001,UNLIMITED FLORIDA SALES,ID-PINKSUDS-CS,I,VIC BAY PINK RAINBOW DISH,DETERGENT #209800-41 4/1GL,0,,130-C,CHEMICAL DISHWASHING DETERGENT,,N,Y,CS,60.96,39.19,P30,P30  CProd,30.0077,N,0,,,,CS,0,,,,Y,30% Profit Margin,P30,P,,30,0,+,0,2/26/2025,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,K01049,Y,(UnAssigned),,10002,109687,620,11,10306,,
100001,UNLIMITED FLORIDA SALES,NB-3940-CS,I,PP HVY WT WHITE FORK 1000/CS,,0,,210-L,CUTLERY,,N,Y,CS,33.33,0,S,S    CProd,0,N,0,0,0,1,CS,0,5/6/2019,5/6/2019,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,NUTRIB,10,NUTRI-BON DISTRIBUTING CO.,,3940,Y,(UnAssigned),,10002,110082,666,11,10304,,
100001,UNLIMITED FLORIDA SALES,ID-VB2433-08N-CS,I,24X33 8 MIC NATURAL,1000/CS (13-16 GALLON),0,,120-B,CANLINER HIGH DENSITY,,N,Y,cs,76.36,49.09,P30,P30  CProd,30.0061,N,0,,,,CS,0,,,,Y,30% Profit Margin,P30,P,,30,0,+,0,2/26/2025,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,AMSAN100,10,THE HOME DEPOT PRO INSTITUTIONAL,,VB2433-08N,Y,(UnAssigned),,10002,110285,673,11,10432,,
100001,UNLIMITED FLORIDA SALES,CF-3860-150B-CS,I,38X60 1.5 MIL BLACK CANLINER,100/CS,0,,120-A,CANLINER LOW LINEAR,,N,Y,CS,62.82,40.39,P30,P30  CProd,30.0074,N,0,0,0,1,CS,0,8/15/2024,8/15/2024,,Y,30% Profit Margin,P30,P,,30,0,+,0,7/25/2024,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,COAST120,10,COASTAL FILMS OF FLORIDA,,3860-150B,Y,(UnAssigned),,10002,110297,674,11,10649,,
100001,UNLIMITED FLORIDA SALES,HD-ECI9-2JRT-CS,I,"9"" 2-PLY JR JUMBO TISSUE 12/CS","3.35""X1000' LEED CERTIFIED",0,,100-G,PAPERTOILET TISSUE JUMBO,,N,Y,CS,48.31,31.06,P30,P30  CProd,30.0064,N,0,,,,CS,0,,,,Y,30% Profit Margin,P30,P,,30,0,+,0,2/26/2025,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,AMSAN100,10,THE HOME DEPOT PRO INSTITUTIONAL,,ECI9-2JRT,N,(UnAssigned),,10002,110353,596,11,10432,,
100001,UNLIMITED FLORIDA SALES,ID-315204-CS,I,CRANBERRY HAIR AND BODY FOAM,4/1,0,,130-B,CHEMICAL FOAM SOAP,,N,Y,CS,131.73,84.69,P30,P30  CProd,30.0035,N,0,,,,CS,0,,,,Y,30% Profit Margin,P30,P,,30,0,+,0,2/26/2025,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,315204,Y,(UnAssigned),,10002,110498,619,11,10306,,
100001,UNLIMITED FLORIDA SALES,ID-6015WO-CS,I,WHITE LOTION SOAP 4/1GAL,,0,,130-A,CHEMICAL LOTION SOAP,,N,Y,CS,67.44,43.36,P30,P30  CProd,30.0046,N,0,,,,CS,0,,,,Y,30% Profit Margin,P30,P,,30,0,+,0,2/26/2025,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,L00019,Y,(UnAssigned),,10002,110772,618,11,10306,,
100001,UNLIMITED FLORIDA SALES,HD-APP12507-CS,I,FACIAL TISSUE 2-PLY FLAT BOX,30BX /100SHEETS,0,,100-J,PAPER FACIAL TISSUE,,N,Y,CS,55.51,35.69,P30,P30  CProd,30.0084,N,0,,,,CS,0,,,,Y,30% Profit Margin,P30,P,,30,0,+,0,2/26/2025,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,AMSAN100,10,THE HOME DEPOT PRO INSTITUTIONAL,,APP12507-WB,Y,(UnAssigned),,10002,111053,615,11,10432,,
