PONumber,PODate,LineNum,LineType,VendorAcct,SupplierPartNum,ItemCode,Description,NumOrdered,ExpReceiveDate,NumReceived,DateReceived,NumBO,BOExpReceiveDate,POCost,Amount,TaxableAmt,TaxFlag,PurchUnitShipWgt,PurchUnitShipCubes,TotalShipWgt,TotalShipCubes,Carrier,StockUnit,PurchUnit,PurchStockMult,StockQtyOrdered,StockQtyReceived,StockQtyBO,PurchCostUnit,PurchCostMult,CostRoundCtrl,StockUnitCost,StockUnitLandedCost,SpecialOrderFlag,SpecialOrderNum,SpecialOrderCustAcct,SpecialOrderCustName,HazMatFlag,HazMatCode,OneTimeCostFlag,,
200011,9/15/2009,10,I,LAGASS,KRY-PBS-BX,KRY-PBS,CHERRY URINAL SCREEN/BLOCK(12),3,,3,9/16/2009,0,,19.69,59.07,0,N,0,0,0,0,BEST WAY,BX,BX,1,3,3,0,BX,1,4,19.69,19.69,N,,,,N,,N,,
200011,9/15/2009,11,I,LAGASS,BWK-SPORK-CS,BWK MWPPSPK,MEDIUMWEIGHT SPORK 1000/CS,2,,2,9/16/2009,0,,7.88,15.76,0,N,0,0,0,0,BEST WAY,CS,CS,1,2,2,0,CS,1,4,7.88,7.88,N,,,,N,,N,,
200011,9/15/2009,12,I,LAGASS,BWK-6275-CS,SOF KITCHENT,KITCHEN ROLL TOWEL 30/85,7,,7,9/16/2009,0,,16.04,112.28,0,N,0,0,0,0,BEST WAY,CS,CS,1,7,7,0,CS,1,4,16.04,16.04,N,,,,N,,N,,
200011,9/15/2009,13,I,LAGASS,TMS-2522-CN,TMS-2522,COUNTRY GARDEN TIME MIST 6.6OZ,1,,1,9/16/2009,0,,33.71,33.71,0,N,0,0,0,0,BEST WAY,CN,CS,12,12,12,0,CS,1,4,2.8092,2.8092,N,,,,N,,N,,
200011,9/15/2009,14,I,LAGASS,HD-WDC-10383-CS,WDC 10383,LAVA 4OZ PUMICE BAR SOAP (48),2,,2,9/16/2009,0,,34.81,69.62,0,N,0,0,0,0,BEST WAY,CS,CS,1,2,2,0,CS,1,4,34.81,34.81,N,,,,N,,N,,
200011,9/15/2009,15,S,LAGASS,,SAN-T1790TBK,SAN-T1790TBK M/F TOWRL DISPEN,10,,10,9/16/2009,0,,16.75,167.5,0,N,0,0,0,0,BEST WAY,EA,EA,1,10,10,0,EA,1,4,16.75,16.75,Y,100028,208087,WESTSIDE CHURCH OF CHRIST,N,,N,,
200011,9/15/2009,16,S,LAGASS,,CPL PL 6,"CPL PL 6  6"" CLEAR PLATE-600",7,,3,9/16/2009,4,,28.87,86.61,0,N,0,0,0,0,BEST WAY,EA,EA,1,7,3,4,EA,1,4,28.87,28.87,Y,100045,DIGNI100,DIGNITY U WEAR,N,,N,,
200011,9/15/2009,17,S,LAGASS,,SCC GDC 5FK,SCC GDC 5FK  CLEAR FORK-1000,2,,0,9/16/2009,0,,30.2,0,0,N,0,0,0,0,BEST WAY,EA,EA,1,2,0,0,EA,1,4,30.2,30.2,Y,100045,DIGNI100,DIGNITY U WEAR,N,,N,,
200011,9/15/2009,18,N,LAGASS,GOJ-9621-EA,GOJ-9621,PURELL 800 DISPENSER WHT/GRAY,4,,0,9/16/2009,4,,12.5,0,0,N,0,0,0,0,BEST WAY,EA,EA,1,4,0,4,EA,1,4,12.5,12.5,N,,,,N,,N,,
200011,9/15/2009,19,I,LAGASS,ID-PLD00046-CS,HURRICANE 40,HURRICANE 40 LAUNDRY DETERGENT,2,,2,9/16/2009,0,,15.8,31.6,0,N,0,0,0,0,BEST WAY,EA,EA,1,2,2,0,EA,1,4,15.8,15.8,N,,,,N,,N,,
200011,9/15/2009,20,S,LAGASS,,GOJ 9606-24,GOJ 9606-24 2OZ HAND SANITIZER,9,,9,9/16/2009,0,,47.3,425.7,0,N,0,0,0,0,BEST WAY,EA,EA,1,9,9,0,EA,1,4,47.3,47.3,Y,100034,447907,WESTROCK,N,,N,,
200011,9/15/2009,21,N,LAGASS,GOJ 5120-06-EA,GOJ 5120-06,PUELL FMX-12 DISPENSER,2,,0,9/16/2009,2,,6.25,0,0,N,0,0,0,0,BEST WAY,EA,EA,1,2,0,2,EA,1,4,6.25,6.25,N,,,,N,,N,,
200011,9/15/2009,22,I,LAGASS,ID-Y5-CS,DCC 5N25,5OZ TRANSLUCENT CUP DART,3,,3,9/16/2009,0,,28.28,84.84,0,N,0,0,0,0,BEST WAY,CS,CS,1,3,3,0,CS,1,4,28.28,28.28,N,,,,N,,N,,
200011,9/15/2009,23,I,LAGASS,ID-12BWWCR-CS,12BWWC,12OZ FOAM BOWL DART(1000),2,,2,9/16/2009,0,,16.92,33.84,0,N,0,0,0,0,BEST WAY,CS,CS,1,2,2,0,CS,1,4,16.92,16.92,N,,,,N,,N,,
200011,9/15/2009,24,I,LAGASS,DR-9CPWCR-CS,9CPWC,"9"" 3-COMP FOAM PLATE DART",3,,3,9/16/2009,0,,14.24,42.72,0,N,0,0,0,0,BEST WAY,CS,CS,1,3,3,0,CS,1,4,14.24,14.24,N,,,,N,,N,,
200011,9/15/2009,25,I,LAGASS,CLO-02490-CS,CLO-02490,CLOROX BLEACH 6/96OZ,2,,2,9/16/2009,0,,10.54,21.08,0,N,0,0,0,0,BEST WAY,CS,CS,1,2,2,0,CS,1,4,10.54,10.54,N,,,,N,,N,,
200011,9/15/2009,26,N,LAGASS,RPP RPBWU-80,NIC-M233XT,NICE & CLEAN BABY WIPES 12/80,5,,5,9/16/2009,0,,20.39,101.95,0,N,0,0,0,0,BEST WAY,CS,CS,1,5,5,0,CS,1,4,20.39,20.39,N,,,,N,,N,,
200011,9/15/2009,27,I,LAGASS,BWK-SPOON-CS,BWK MWPPTS,MEDIUMWEIGHT SPOON(1000,3,,3,9/16/2009,0,,7.63,22.89,0,N,0,0,0,0,BEST WAY,CS,CS,1,3,3,0,CS,1,4,7.63,7.63,N,,,,N,,N,,
200013,9/15/2009,1,N,DISLAB,DL-3DIA-UPC-M,DL-3DIA-UPC,"3"" UPC COLLARD GREENS 2# LABEL",1000,,1000,9/18/2009,0,,63.24,63240,0,N,0,0,0,0,UPS,M,M,1,1000,1000,0,M,1,4,63.24,63.24,N,,,,N,,N,,
200014,9/15/2009,1,I,UNISOU,JRT-8002S-CS,10259130,"4"" X 1000'2-PLY TOILET TISSUE",6,,6,9/16/2009,0,,21.51,129.06,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,6,6,0,CS,1,4,21.51,21.51,N,,,,N,,N,,
200014,9/15/2009,2,I,UNISOU,KC-02021-CS,5150090,"8""X400' BROWN ROLL TOWEL 12/CS",15,,15,9/16/2009,0,,26.81,402.15,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,15,15,0,CS,1,4,26.81,26.81,N,,,,N,,N,,
200014,9/15/2009,3,I,UNISOU,KCC-01040-CS,5150148,"8""X800' WHITE ROLL TOWEL 12/CS",3,,3,9/16/2009,0,,71.98,215.94,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,3,3,0,CS,1,4,71.98,71.98,N,,,,N,,N,,
200014,9/15/2009,4,I,UNISOU,US-U23120-CS,10388028,BLEACHED MULTIFOLD TOWEL,5,,5,9/16/2009,0,,19.98,99.9,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,5,5,0,CS,1,4,19.98,19.98,N,,,,N,,N,,
200014,9/15/2009,5,I,UNISOU,BOX-12126-EA,10123057,CORRUGATED BOX,100,,100,9/16/2009,0,,0.41,41,0,N,0,0,0,0,THEIR TRUCK/PICKUP,EA,EA,1,100,100,0,EA,1,4,0.41,0.41,N,,,,N,,N,,
200014,9/15/2009,6,I,UNISOU,BOX241212-EA,6251528,CORRUGATED BOX,100,,100,9/16/2009,0,,0.67,67,0,N,0,0,0,0,THEIR TRUCK/PICKUP,EA,EA,1,100,100,0,EA,1,4,0.67,0.67,N,,,,N,,N,,
200014,9/15/2009,7,I,UNISOU,BOX-666-EA,4669751,CORRUGATED BOX,50,,50,9/16/2009,0,,0.2,10,0,N,0,0,0,0,THEIR TRUCK/PICKUP,EA,EA,1,50,50,0,EA,1,4,0.2,0.2,N,,,,N,,N,,
200014,9/15/2009,8,I,UNISOU,BOX-888-EA,4667838,"CORRUGATED BOX SCORED @ 6""",100,,100,9/16/2009,0,,0.24,24,0,N,0,0,0,0,THEIR TRUCK/PICKUP,EA,EA,1,100,100,0,EA,1,4,0.24,0.24,N,,,,N,,N,,
200014,9/15/2009,9,I,UNISOU,BOX-101010S-EA,4667846,"CORRUGATED BOX SCORED @ 8""& 6""",100,,100,9/16/2009,0,,0.38,38,0,N,0,0,0,0,THEIR TRUCK/PICKUP,EA,EA,1,100,100,0,EA,1,4,0.38,0.38,N,,,,N,,N,,
200014,9/15/2009,10,I,UNISOU,BOX-141414S-EA,4667887,"CORRUGATED BOX SCORED @12""&10""",100,,100,9/16/2009,0,,0.71,71,0,N,0,0,0,0,THEIR TRUCK/PICKUP,EA,EA,1,100,100,0,EA,1,4,0.71,0.71,N,,,,N,,N,,
200014,9/15/2009,11,I,UNISOU,BOX-48X40-EA,10129589,CORRUGATED SHEETS 150#,600,,600,9/16/2009,0,,0.62,372,0,N,0,0,0,0,THEIR TRUCK/PICKUP,EA,EA,1,600,600,0,EA,1,4,0.62,0.62,N,,,,N,,N,,
200014,9/15/2009,12,I,UNISOU,SB-BLEACH-CS,10306152,HOUSEHOLD BLEACH 5.25% (6/1GL),12,,12,9/16/2009,0,,7.59,91.08,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,12,12,0,CS,1,4,7.59,7.59,N,,,,N,,N,,
200014,9/15/2009,13,I,UNISOU,HD-KC-17713-CS,4851085,KLEENEX TOILET TISSUE 505SHT,2,,2,9/16/2009,0,,38.79,77.58,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,2,2,0,CS,1,4,38.79,38.79,N,,,,N,,N,,
200014,9/15/2009,14,I,UNISOU,HDREN04017-50-EA,4785762,OILDRI 50# BAG,25,,25,9/16/2009,0,,5.3,132.5,0,N,0,0,0,0,THEIR TRUCK/PICKUP,BG,BG,1,25,25,0,BG,1,4,5.3,5.3,N,,,,N,,N,,
200014,9/15/2009,15,I,UNISOU,GP-RB350-CS,10032878,PARK AVE WHT ROLL TOWEL 12/CS,1,,1,9/16/2009,0,,23.18,23.18,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,1,1,0,CS,1,4,23.18,23.18,N,,,,N,,N,,
200014,9/15/2009,16,I,UNISOU,GP-SB1840-CS,4941322,"PARK AVE, WHITE S/F 4000/CS",1,,1,9/16/2009,0,,21.79,21.79,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,1,1,0,CS,1,4,21.79,21.79,N,,,,N,,N,,
200014,9/15/2009,17,I,UNISOU,HD-KC-5701-40-CS,5335069,SCOTT WYPALL WIPER WHT(18/56),2,,2,9/16/2009,0,,50.75,101.5,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,2,2,0,CS,1,4,50.75,50.75,N,,,,N,,N,,
200014,9/15/2009,18,I,UNISOU,GP-MK530A-CS,10032870,SECOND NATURE NTRL MULTIFOLD,6,,6,9/16/2009,0,,15.27,91.62,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,6,6,0,CS,1,4,15.27,15.27,N,,,,N,,N,,
200014,9/15/2009,19,I,UNISOU,DP-GP-HB1990A-CS,4947601,"TOWN HOUSE, WHT HH ROLL 30/CS",5,,5,9/16/2009,0,,23.75,118.75,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,5,5,0,CS,1,4,23.75,23.75,N,,,,N,,N,,
200014,9/15/2009,20,I,UNISOU,US-U23121-CS,10388025,WAVE WHITE TOILET TISSUE 2-PLY,3,,3,9/16/2009,0,,38.13,114.39,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,3,3,0,CS,1,4,38.13,38.13,N,,,,N,,N,,
200014,9/15/2009,21,I,UNISOU,GP-CB530-CS,10090434,WHITE C-FOLD TOWEL 2400/CS,3,,3,9/16/2009,0,,17.79,53.37,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,3,3,0,CS,1,4,17.79,17.79,N,,,,N,,N,,
200014,9/15/2009,22,I,UNISOU,KC-01890-CS,5150040,WHITE SURPASS MULTIFOLD TOWELS,5,,5,9/16/2009,0,,24.34,121.7,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,5,5,0,CS,1,4,24.34,24.34,N,,,,N,,N,,
200014,9/15/2009,23,I,UNISOU,ID-16J16-CS,DR-16J16,16OZ WHITE FOAM CUP(16SL),4,,4,9/16/2009,0,,29.61,118.44,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,4,4,0,CS,1,4,29.61,29.61,N,,,,N,,N,,
200014,9/15/2009,24,I,UNISOU,DP-101406-CS,10072607,85 OUNCE BERRY PLASTIC WHT 200,3,,3,9/16/2009,0,,159.68,479.04,0,N,0,0,0,0,THEIR TRUCK/PICKUP,CS,CS,1,3,3,0,CS,1,4,159.68,159.68,N,,,,N,,N,,
