ItemCode,ItemDescription,ItemExtendedDescription,ItemType,WHCode,WHDescription,StockUnit,BinNumber,ReorderPoint,LinePoint,ReorderQty,StockLevel,ShippedStock,ReceivedStock,StockOnHand,ReservedStock,StockAvailable,ItemAveUnitCost,StockValue,OnOrderFlag,OnOrderDate,OnOrderPONumber,OnOrderQty,OnOrderUnitCost,OnOrderExpectDate,OnOrderVendorAcct,OnOrderVendorName,TotalOnOrderQty,LastReceiveDate,LastReceivePONumber,FirstSaleDate,LastSaleDate,ReorderInfoCalcFlag,WHAveDayUsage,TransferInfoCalcFlag,TransferPoint,TransferQty,ItemID,WHID,VendorID,
RETAIL,RETAIL ITEMS,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,0,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112149,1,0,
KU-DECO001BK31,KUTOL DESIGNER SERIES DECO,MANUAL DISPENSER - BLACK,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,2,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112150,1,0,
KU-14841-CS,KUTOL FOAMING ULTRA GREEN,HAND SOAP 1000ML 6/CS,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,40,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112151,1,0,
KU-68641-CS,KUTOL FOAMING LUXURY HAND SOAP,DYE AND FRAG FREE 1000ML 6/CS,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,37.4,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112152,1,0,
KU-68241-CS,KUTOL FOAMING NO ALCOHOL HAND,SANITIZER 1000ML 6/CS,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,53.6,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112153,1,0,
ID-VBPCLT4,4oz PORTION CUP LID,2500/CS,I,*MAIN,Main Warehouse,CS,,0,0,0,0,0,0,0,0,0,29.7,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112155,1,10306,
BOX-121218-EA,CORRUGATED BOX 12X12X18,,I,*MAIN,Main Warehouse,EA,,0,0,0,1190,0,0,1190,0,1190,1.1951,1422.17,N,,,0,0,,0,(No Supplier Assigned),0,5/13/2024,215054,3/6/2026,3/6/2026,Y,0.0556,N,0,0,112162,1,10067,
ID-VG16CF-CS,16 oz CUP COLD PET 98MM CLEAR,1000/CS,I,*MAIN,Main Warehouse,CS,,0,0,2.166,2,0,0,2,0,2,56.23,112.46,Y,6/11/2025,215643-1,1,56.23,,DADEP100,DADE PAPER,1,2/2/2026,215959,5/24/2024,3/6/2026,Y,0.0167,N,0,0,112163,1,10306,
ID-VB98NS-CS,12-24 oz CUP LID NO SLOT,1000.CS,I,*MAIN,Main Warehouse,CS,,0,0,0,0,0,0,0,0,0,39.16,0,N,,,0,0,,0,(No Supplier Assigned),0,7/15/2025,215685,5/24/2024,9/30/2025,Y,0,N,0,0,112164,1,10306,
ID-PGC32535-CS,P&G SPIC & SPAN DISSINFECTANT,& GLASS CLEANER 2/1GL,I,*MAIN,Main Warehouse,CS,,0,0,0,7,0,0,7,0,7,81.0832,567.58,N,,,0,0,,0,(No Supplier Assigned),0,4/9/2026,216072,11/14/2024,4/7/2026,Y,0.0778,N,0,0,112167,1,10306,
BOX-12104-EA,CORRUGATED BOX 12X10X4,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,0.6314,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112171,1,10067,
BOX-12106-EA,CORRUGATED BOX 12X10X6,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,0.6914,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112172,1,10067,
BOX-12912-EA,CORRUGATED BOX 12X9X12,,I,*MAIN,Main Warehouse,Each,,24.9998,8.3333,33.333,200,0,0,200,0,200,0.8783,175.66,N,,,0,0,,0,(No Supplier Assigned),0,7/1/2025,215668,8/9/2024,3/30/2026,Y,1.1111,N,0,0,112174,1,10067,
BOX-1296-EA,CORRUGATED BOX 12X9X6,,I,*MAIN,Main Warehouse,Each,,74.9993,24.9998,99.999,400,0,0,400,0,400,0.5722,228.88,N,,,0,0,,0,(No Supplier Assigned),0,2/17/2026,215994,6/27/2024,2/17/2026,Y,2.2222,N,0,0,112175,1,10067,
13 1/410 1/412,CORRUGATED BOX,13 1/4X 10 1/4X 12,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,1.71,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112176,1,10067,
BOX-S-9839-BD,LITERATURE MAILERS 13X10X2,KRAFT 50/BUNDLE,I,*MAIN,Main Warehouse,BD,,0,0,0,0,0,0,0,0,0,2.0709,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112178,1,10067,
LD-2379-CS,13X16 1MIL POLY BAGS,1000/CS,I,*MAIN,Main Warehouse,CS,,0,0,0,0,0,0,0,0,0,30.43,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112180,1,10136,
BOX-141010 DW,CORRUGATED BOX 14x10x10,DOUBLE WALLED,I,*MAIN,Main Warehouse,Each,,0,0,0,495,0,0,495,0,495,2.1952,1086.62,N,,,0,0,,0,(No Supplier Assigned),0,3/17/2026,216035,8/9/2024,3/9/2026,Y,0.5278,N,0,0,112182,1,10067,
BOX-14144-EA,CORRUGATED BOX 14X14X4,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,0.95,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112184,1,10067,
BOX-151111-EA,CORRUGATED BOX 15X11X11,,I,*MAIN,Main Warehouse,Each,,0,0,0,200,0,0,200,0,200,0.9675,193.5,N,,,0,0,,0,(No Supplier Assigned),0,3/17/2026,216035,8/9/2024,3/9/2026,Y,0.2778,N,0,0,112185,1,10067,
BOX-16104-EA,CORRUGATED BOX 16X10X4,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,0.71,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112187,1,10067,
BOX-161212-EA,CORRUGATED BOX 16X12X12,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,1.04,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112188,1,10067,
BOX-16106-EA,CORRUGATED BOX 16X10X6,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,0.7776,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112189,1,10067,
BOX-16144-EA,CORRUGATED BOX 16X14X4,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,0.8961,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112191,1,10067,
BOX-16146-EA,CORRUGATED BOX 16X14X6,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,1,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112194,1,10067,
BOX-181414-EA,CORRUGATED BOX 18X14X14,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,1.48,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112195,1,10067,
BOX-1866-EA,CORRUGATED BOX 18X6X6,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,0,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112196,1,10067,
BOX-1886-EA,CORRUGATED BOX 18X8X6,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,1.11,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112197,1,10067,
BOX-1888-EA,CORRUGATED BOX 18X8X8,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,0.8056,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112198,1,10067,
BOX-201012-EA,CORRUGATED BOX 20X10X12,,I,*MAIN,Main Warehouse,Each,,0,0,0,0,0,0,0,0,0,1.0881,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,112200,1,10067,
